Date,SpotPrice,FuturesPrice,TheoreticalPrice,PriceDifference
2023-12-05,4567.18,4756.75,4570.933846575343,185.8161534246574
2023-12-04,4569.78,4760.0,4573.911581917809,186.0884180821913
2023-12-01,4594.63,4783.0,4599.916971506849,183.08302849315078
2023-11-30,4567.8,4763.0,4573.431534246576,189.56846575342388
2023-11-29,4550.58,4743.75,4556.564324383561,187.18567561643886
2023-11-28,4554.89,4752.0,4561.254366849315,190.74563315068463
2023-11-27,4550.43,4753.0,4557.162143013698,195.83785698630163
2023-11-24,4559.34,4761.5,4567.209545753425,194.29045424657488
2023-11-22,4556.62,4759.5,4565.233884383562,194.26611561643767
2023-11-21,4538.19,4742.75,4547.142046027397,195.60795397260335
2023-11-20,4547.38,4753.75,4556.72393150685,197.02606849314998
2023-11-17,4514.02,4716.25,4524.408429589042,191.8415704109584
2023-11-16,4508.24,4710.5,4518.985667945206,191.51433205479407
2023-11-15,4502.88,4709.0,4513.982991780822,195.01700821917802
2023-11-14,4495.7,4696.25,4507.154797260274,189.09520273972612
2023-11-13,4411.55,4613.75,4423.1529808219175,190.59701917808252
2023-11-10,4415.24,4618.75,4427.941375342466,190.80862465753398
2023-11-09,4347.35,4547.0,4360.213391780822,186.78660821917765
2023-11-08,4382.78,4583.25,4396.108454246575,187.1415457534249
2023-11-07,4378.38,4579.0,4392.0549402739725,186.94505972602747
2023-11-06,4365.98,4566.5,4379.975059178082,186.52494082191788
2023-11-03,4358.34,4555.0,4373.385228493151,181.61477150684914
2023-11-02,4317.78,4517.75,4333.0400991780825,184.70990082191747
2023-11-01,4237.86,4433.5,4253.185959452054,180.3140405479462
2023-10-31,4193.8,4392.0,4209.311315068494,182.68868493150603
2023-10-30,4166.82,4362.25,4182.574004383561,179.67599561643874
2023-10-27,4117.37,4310.5,4133.952284657535,176.54771534246538
2023-10-26,4137.23,4330.75,4154.232315068492,176.51768493150757
2023-10-25,4186.77,4389.5,4204.320022191781,185.1799778082186
2023-10-24,4247.68,4454.0,4265.834467945206,188.1655320547943
2023-10-23,4217.04,4422.0,4235.4101194520545,186.58988054794554
2023-10-20,4224.16,4428.75,4243.602709041095,185.1472909589047
2023-10-19,4278.0,4488.75,4298.042136986302,190.70786301369844
2023-10-18,4314.6,4532.75,4335.1682301369865,197.5817698630135
2023-10-17,4373.2,4596.0,4394.407024657534,201.59297534246616
2023-10-16,4373.63,4592.0,4395.19858630137,196.8014136986303
2023-10-13,4327.78,4544.25,4350.189600547945,194.0603994520552
2023-10-12,4349.61,4568.5,4372.4901402739715,196.00985972602848
2023-10-11,4376.95,4598.0,4400.333705479452,197.66629452054804
2023-10-10,4358.24,4579.0,4381.881959452054,197.1180405479463
2023-10-09,4335.66,4558.0,4359.5358263013695,198.46417369863047
2023-10-06,4308.5,4532.0,4333.288630136986,198.71136986301372
2023-10-05,4258.19,4473.0,4283.039163561643,189.96083643835664
2023-10-04,4263.75,4484.0,4288.98205479452,195.01794520547992
2023-10-03,4229.45,4457.0,4254.8267,202.17330000000038
2023-10-02,4288.39,4517.0,4314.472810410959,202.52718958904097
2023-09-29,4288.05,4518.0,4315.188069863014,202.81193013698612
2023-09-28,4299.7,4530.0,4327.265200000001,202.73479999999927
2023-09-27,4274.51,4506.0,4302.265037534246,203.7349624657536
2023-09-26,4273.53,4507.0,4301.629923287672,205.37007671232823
2023-09-25,4337.44,4572.0,4366.316655342465,205.6833446575347
2023-09-22,4320.06,4554.0,4349.886167671234,204.11383232876597
2023-09-21,4330.0,4565.0,4360.250684931507,204.74931506849316
